,doc1,feq_doc1,doc2,feq_doc2,doc3,feq_doc3,doc4,feq_doc4,doc5,feq_doc5,doc6,feq_doc6,doc7,feq_doc7,doc8,feq_doc8,doc9,feq_doc9,doc10,feq_doc10,doc11,feq_doc11,doc12,feq_doc12,doc13,feq_doc13,doc14,feq_doc14,doc15,feq_doc15,doc16,feq_doc16,doc17,feq_doc17,doc18,feq_doc18,doc19,feq_doc19,doc20,feq_doc20
101,cuban,5.0,60th,5.0,successful,1.0,an,7.0,anniversary,8.0,24,10.0,first,5.0,officials,8.0,florence,1.0,1984,1.0,see,3.0,13,2.0,described,1.0,0–2,3.0,well,8.0,rhode,2.0,participated,3.0,master,1.0,president,15,stated,16.0
102,use,5.0,drive,5.0,1947–1954,1.0,when,7.0,hackerpschorr,8.0,two,10.0,under,5.0,they,8.0,returned,1.0,order,1.0,7,3.0,16,2.0,key,1.0,fc,2.0,conditions,8.0,island,2.0,camp,3.0,degree,1.0,thomas,15,so,16.0
103,process,5.0,so,5.0,smaller,1.0,e,7.0,september,7.0,do,10.0,crossexamine,5.0,according,8.0,then,1.0,provided,1.0,e,3.0,parties,2.0,they,1.0,3rd,2.0,diabetes,8.0,1874,2.0,players,3.0,english,1.0,without,15,her,16.0
104,initiator,5.0,than,5.0,stars,1.0,dnaa,7.0,more,7.0,females,10.0,par,5.0,will,8.0,is,1.0,valuable,1.0,powers,3.0,7,2.0,closely,1.0,fifth,2.0,research,8.0,residential,2.0,august,2.0,literature,1.0,great,15,kennedy,16.0
105,go,5.0,known,5.0,like,1.0,chromosomes,7.0,than,7.0,numbers,9.0,he,5.0,when,7.0,known,1.0,scanning,1.0,integral,3.0,2002,2.0,related,1.0,round,2.0,mothers,8.0,financing,2.0,2015,2.0,emmanuel,1.0,french,15,there,16.0
106,when,5.0,between,5.0,considered,1.0,clamp,7.0,around,7.0,similar,9.0,1902,4.0,sank,7.0,including,1.0,capacity,1.0,monotone,3.0,as,2.0,meters,1.0,top,2.0,trimester,8.0,mortgages,2.0,–,2.0,college,1.0,than,15,see,15.0
107,where,5.0,temperature,5.0,biggest,1.0,machineries,7.0,2013,7.0,areas,9.0,establishment,4.0,46,7.0,those,1.0,patients,1.0,decreasing,3.0,chrétien,2.0,concept,1.0,billy,2.0,second,8.0,people,2.0,position,2.0,cambridge,1.0,no,15,1968,15.0
108,spirit,5.0,america,5.0,assets,1.0,do,7.0,rides,7.0,domesticated,9.0,29,4.0,out,7.0,tedeschi,1.0,well,1.0,only,3.0,following,2.0,developed,1.0,57528,2.0,third,8.0,large,2.0,guard,2.0,university,1.0,appointed,14,poor,15.0
109,drums,5.0,with,4.0,won,1.0,dnas,7.0,sunday,7.0,found,9.0,august,4.0,summary,7.0,salvatore,1.0,creating,1.0,states,3.0,2014,2.0,variety,1.0,v,2.0,available,8.0,south,2.0,league,2.0,finance,1.0,congress,14,year,15.0
110,du,5.0,its,4.0,1950–51,1.0,s,7.0,4,7.0,dogs,9.0,tabled,4.0,further,7.0,santa,1.0,reliable,1.0,at,3.0,history,2.0,names,1.0,february,2.0,kg,8.0,much,2.0,information,2.0,been,1.0,born,14,years,15.0
111,health,5.0,convective,4.0,national,1.0,double,6.0,today,7.0,million,9.0,1,4.0,china,7.0,margherita,1.0,income,1.0,exp,3.0,parliaments,2.0,automatenmarken,1.0,21068,2.0,lb,8.0,harriet,2.0,traralgon,2.0,augmented,1.0,read,14,many,15.0
112,regla,4.0,time,4.0,association,1.0,then,6.0,outside,7.0,3,9.0,evidence,4.0,nations,7.0,cantore,1.0,stream,1.0,z,3.0,further,2.0,germany,1.0,29,2.0,d,8.0,luxury,2.0,listed,2.0,recent,1.0,university,14,when,15.0
113,ochá,4.0,driven,4.0,title,1.0,initiate,6.0,years,7.0,another,9.0,those,4.0,made,7.0,seminara,1.0,provision,1.0,length,3.0,reading,2.0,europe,1.0,was,2.0,prenatal,7.0,tallest,2.0,lb,2.0,years,1.0,religious,14,school,15.0
114,la,4.0,whose,4.0,entire,1.0,reaction,6.0,time,7.0,if,9.0,but,4.0,both,7.0,senator,1.0,patient,1.0,line,3.0,after,2.0,stanley,1.0,would,2.0,higher,7.0,skyscraper,2.0,79,2.0,his,1.0,college,14,however,15.0
115,2,4.0,sink,4.0,career,1.0,pairs,6.0,citation,7.0,vertebrae,9.0,control,4.0,including,7.0,fuccio,1.0,service,1.0,absolutely,3.0,university,2.0,gibbons,1.0,they,2.0,will,7.0,battle,2.0,school,2.0,debut,1.0,electrical,14,my,15.0
116,spanish,4.0,process,4.0,retiring,1.0,three,6.0,no,7.0,fur,9.0,led,4.0,there,7.0,della,1.0,following,1.0,given,2.0,leuven,2.0,catalogues,1.0,outside,2.0,both,7.0,over,2.0,caulfield,2.0,novel,1.0,named,14,both,15.0
117,means,4.0,near,4.0,play,1.0,if,6.0,police,7.0,even,9.0,improvement,4.0,part,7.0,noce,1.0,creation,1.0,nth,2.0,confined,2.0,contents,1.0,by,2.0,disease,7.0,deal,2.0,grammar,2.0,followed,1.0,15,14,social,15.0
118,syncretized,4.0,poles,4.0,end,1.0,opposite,6.0,2005,7.0,cause,9.0,11,4.0,defense,7.0,signora,1.0,1994,1.0,closer,2.0,charter,2.0,hide,1.0,squad,2.0,–,7.0,panic,2.0,bendigo,2.0,almost,1.0,father,14,party,15.0
119,21,4.0,their,4.0,1957,1.0,forms,6.0,2008,7.0,house,8.0,legal,4.0,no,7.0,tropearossi,1.0,3,1.0,more,2.0,adopted,2.0,5,1.0,goalkeepers,2.0,dutch,7.0,1893,2.0,spirit,2.0,contemporaneously,1.0,three,14,southern,14.0
120,25,4.0,such,4.0,fivetime,1.0,added,6.0,smoking,7.0,ability,8.0,prosecutions,4.0,ft,7.0,2,1.0,joined,1.0,small,2.0,together,2.0,see,1.0,defenders,2.0,stages,7.0,fled,2.0,arras,2.0,first,1.0,can,14,christian,14.0
121,american,4.0,latitudinal,4.0,allnba,1.0,rate,6.0,small,7.0,ears,8.0,from,4.0,lee,7.0,among,1.0,forces,1.0,large,2.0,socialist,2.0,6,1.0,midfielders,2.0,5,7.0,avoid,2.0,los,2.0,rewritten,1.0,these,14,april,14.0
122,sacrifice,4.0,pattern,4.0,second,1.0,coli,6.0,but,7.0,those,8.0,had,4.0,during,7.0,religious,1.0,s,1.0,integer,2.0,out,2.0,references,1.0,forwards,2.0,first,7.0,embezzlement,2.0,angeles,2.0,final,1.0,–,13,became,14.0
123,into,4.0,solar,4.0,three,1.0,fragments,6.0,historical,7.0,well,8.0,been,4.0,people,7.0,historic,1.0,grants,1.0,lefts,2.0,its,2.0,7,1.0,table,2.0,factors,7.0,dropped,2.0,sparks,2.0,form,1.0,postmaster,13,called,14.0
124,what,4.0,low,4.0,consecutive,1.0,enzyme,6.0,augustiner,7.0,pet,8.0,general,4.0,public,7.0,paintings,1.0,made,1.0,called,2.0,12,2.0,further,1.0,results,2.0,these,7.0,key,2.0,2×,2.0,september,1.0,general,13,new,14.0
125,period,4.0,main,4.0,times,1.0,helicases,6.0,closed,7.0,large,8.0,one,4.0,republic,6.0,depicted,1.0,by,1.0,said,2.0,60,2.0,reading,1.0,south,2.0,where,7.0,witnesses,2.0,allstar,2.0,spartan,1.0,early,13,police,14.0
126,all,4.0,trade,4.0,1951–52,1.0,nascent,6.0,well,7.0,range,8.0,branch,4.0,sea,6.0,pope,1.0,profits,1.0,examples,2.0,1989,2.0,8,1.0,englandjohn,2.0,between,7.0,testify,2.0,hide,2.0,style,1.0,work,13,americans,14.0
127,term,4.0,side,4.0,ever,1.0,would,6.0,germany,6.0,extinction,8.0,right,4.0,2,6.0,pius,1.0,have,1.0,integers,2.0,89,2.0,external,1.0,englandalan,2.0,13,7.0,him,2.0,association,2.0,that,1.0,folger,13,because,14.0
128,priest,4.0,creates,4.0,shoot,1.0,binding,6.0,name,6.0,island,8.0,all,4.0,did,6.0,ix,1.0,been,1.0,signs,2.0,14,2.0,links,1.0,englandjimmy,2.0,needed,7.0,spent,2.0,21,2.0,often,1.0,published,13,up,14.0
129,first,4.0,parallel,4.0,over,1.0,daughter,6.0,example,6.0,populations,8.0,including,4.0,10,6.0,assists,1.0,used,1.0,produces,2.0,college,2.0,there,1.0,melia,2.0,30,7.0,working,2.0,22,2.0,requires,1.0,over,13,main,14.0
130,represent,4.0,equatorial,4.0,90,1.0,region,6.0,chicken,6.0,believed,8.0,require,4.0,efforts,6.0,dying,1.0,number,1.0,ln,2.0,25,2.0,many,1.0,62,2.0,length,7.0,never,2.0,23,2.0,reader,1.0,see,12,say,14.0
131,warriors,4.0,due,4.0,free,1.0,result,6.0,now,6.0,study,8.0,relation,4.0,other,6.0,king,1.0,key,1.0,set,2.0,133,2.0,systems,1.0,52,2.0,g,7.0,worked,2.0,overseas,2.0,provide,1.0,john,12,are,14.0
132,initiation,4.0,conservation,4.0,throw,1.0,separated,5.0,22,6.0,wildcats,8.0,administrative,4.0,reports,6.0,ferdinand,1.0,developments,1.0,11,2.0,eds,2.0,over,1.0,63,2.0,time,6.0,5,2.0,on,2.0,linkages,1.0,17,12,birmingham,13.0
133,water,4.0,flow,4.0,line,1.0,molecule,5.0,restaurateurs,6.0,diseases,8.0,before,4.0,two,6.0,ii,1.0,around,1.0,13,2.0,europe,2.0,years,1.0,65,2.0,later,6.0,philanthropy,2.0,luke,2.0,within,1.0,death,12,selma,13.0
134,specific,4.0,though,4.0,2,1.0,occurs,5.0,costume,6.0,grooming,8.0,hearings,4.0,war,6.0,cosma,1.0,including,1.0,10,2.0,since,2.0,none,1.0,78,2.0,2,6.0,6,2.0,best,2.0,story,1.0,deborah,12,nonviolence,13.0
135,however,4.0,easterlies,4.0,naismith,1.0,complementary,5.0,7,6.0,silvestris,8.0,conducted,4.0,vessels,6.0,damiano,1.0,neuromuscular,1.0,15,2.0,pp,2.0,truly,1.0,68,2.0,two,6.0,collapse,2.0,teammate,2.0,line,1.0,electricity,12,has,13.0
136,once,4.0,tropopause,4.0,memorial,1.0,proofreading,5.0,ludwig,6.0,include,8.0,applicant,4.0,what,6.0,basilica,1.0,complex,1.0,21,2.0,isbn,2.0,successful,1.0,79,2.0,3,6.0,7,2.0,represented,2.0,characterisation,1.0,several,12,could,13.0
137,necklace,4.0,temperatures,4.0,1987,1.0,mechanisms,5.0,races,6.0,part,8.0,witness,4.0,sailors,6.0,sebastiano,1.0,care,1.0,24,2.0,entre,1.0,until,1.0,83,2.0,other,6.0,notes,2.0,u16,2.0,themes,1.0,scientific,12,any,13.0
138,blood,4.0,north,4.0,would,1.0,2,5.0,tradition,6.0,first,8.0,exercise,4.0,stern,6.0,filippo,1.0,unit,1.0,120,2.0,wikipedia,1.0,evolution,1.0,81,2.0,barker,6.0,8,2.0,ais,2.0,suffering,1.0,national,12,before,13.0
139,eleguá,4.0,even,4.0,well,1.0,specific,5.0,however,6.0,all,8.0,has,4.0,28,6.0,giacomo,1.0,at,1.0,9,2.0,free,1.0,modern,1.0,45,2.0,influences,6.0,father,2.0,7,2.0,underprivileged,1.0,britain,12,their,13.0
140,his,4.0,30°,4.0,playercoach,1.0,adding,5.0,before,6.0,during,8.0,committee,4.0,crew,6.0,castiglione,1.0,-,-,25,2.0,encyclopedia,1.0,sophisticated,1.0,76,2.0,cases,6.0,descendant,2.0,8,2.0,are,1.0,slaves,12,blacks,13.0
141,11,4.0,either,4.0,two,1.0,elongation,5.0,his,6.0,wild,8.0,pursuant,3.0,section,6.0,siculo,1.0,-,-,36,2.0,be,1.0,computer,1.0,86,2.0,french,6.0,family,2.0,caps,2.0,pursued,1.0,public,12,into,13.0
142,power,4.0,waters,4.0,years,1.0,together,5.0,because,6.0,including,8.0,upon,3.0,metres,6.0,immaculate,1.0,-,-,pi,2.0,confused,1.0,development,1.0,90,2.0,prepregnancy,6.0,moved,2.0,2004,2.0,examines,1.0,religion,12,johnson,13.0
143,spiritual,4.0,south,4.0,then,1.0,four,5.0,still,6.0,neutered,8.0,impose,3.0,hull,6.0,conceception,1.0,-,-,psi,2.0,1945–1968,1.0,which,1.0,69,2.0,normal,6.0,school,2.0,2005,2.0,plight,1.0,son,12,rustin,13.0
144,herbalist,4.0,means,3.0,franchise,1.0,adenine,5.0,war,6.0,while,8.0,qc,3.0,missing,6.0,geraldo,1.0,-,-,main,2.0,logo,1.0,performs,1.0,39,2.0,overweight,6.0,tuberculosis,2.0,qualification,2.0,widows,1.0,before,12,america,13.0
145,toit,4.0,periods,3.0,another,1.0,while,5.0,guests,6.0,any,8.0,final,3.0,large,6.0,vescovo,1.0,-,-,article,2.0,benoît,1.0,function,1.0,35,2.0,diseases,6.0,take,2.0,series,2.0,context,1.0,each,12,alabama,12.0
146,el,4.0,consequence,3.0,1957–58,1.0,base,5.0,power,6.0,kg,8.0,governorgeneral,3.0,president,6.0,cathedral,1.0,-,-,can,2.0,lutgen,1.0,businesses,1.0,34,2.0,increased,6.0,found,2.0,missed,2.0,diaspora,1.0,puritan,12,world,12.0
147,practice,4.0,sun,3.0,but,1.0,different,5.0,had,6.0,lb,8.0,24,3.0,parts,6.0,battista,1.0,-,-,proven,2.0,preceded,1.0,organisations,1.0,75,2.0,important,6.0,returned,2.0,10,2.0,coolies,1.0,through,12,until,12.0
148,aché,4.0,engine,3.0,injuries,1.0,only,5.0,they,6.0,less,8.0,february,3.0,who,6.0,che,1.0,-,-,must,2.0,headquarters,1.0,instrumental,1.0,54,2.0,maintain,6.0,partner,2.0,led,2.0,india,1.0,took,12,south,12.0
149,but,4.0,space,3.0,stopped,1.0,newly,5.0,station,6.0,long,8.0,26,3.0,concluded,6.0,sgrida,1.0,-,-,compared,2.0,secretariat,1.0,developing,1.0,28,2.0,many,6.0,c,2.0,scoring,2.0,work,1.0,there,12,most,12.0
150,patient,4.0,motion,3.0,short,1.0,short,5.0,especially,6.0,particularly,8.0,27,3.0,high,6.0,ai,1.0,-,-,however,2.0,rue,1.0,first,1.0,26,2.0,studies,6.0,thomas,2.0,2007,2.0,whiteowned,1.0,however,12,made,12.0
151,healers,4.0,shift,3.0,when,1.0,energy,5.0,music,6.0,so,8.0,march,3.0,conclusion,6.0,farisei,1.0,-,-,suppose,2.0,deux,1.0,produce,1.0,main,2.0,early,6.0,lowry,2.0,average,2.0,sugar,1.0,called,12,them,12.0
152,problem,4.0,heating,3.0,maurice,1.0,their,5.0,ban,6.0,over,8.0,criminal,3.0,such,6.0,glory,1.0,-,-,rightr,2.0,églises,1.0,taken,1.0,article,2.0,size,6.0,streetcar,2.0,assists,2.0,plantations,1.0,good,12,nation,12.0
153,inle,4.0,change,3.0,stokes,1.0,formation,5.0,increased,6.0,live,8.0,case,3.0,damage,6.0,same,1.0,-,-,inconclusive,2.0,centrism,1.0,out,1.0,date,2.0,their,6.0,day,2.0,before,2.0,south,1.0,until,12,justice,12.0
154,case,4.0,jet,3.0,permanently,1.0,per,5.0,band,6.0,lives,8.0,recommended,3.0,state,6.0,name,1.0,-,-,may,2.0,position,1.0,carl,1.0,opponents,2.0,nutritional,6.0,companies,2.0,were,2.0,africa,1.0,york,12,nt,12.0
155,origin,3.0,stream,3.0,injured,1.0,once,5.0,many,6.0,catus,7.0,laws,3.0,them,6.0,oratory,1.0,-,-,rlimsup,2.0,international,1.0,bushe,1.0,venue,2.0,children,6.0,nb,2.0,foot,2.0,comment,1.0,noted,12,atlanta,11.0
156,african,3.0,1,3.0,early,1.0,activity,5.0,their,6.0,called,7.0,office,3.0,against,6.0,martyrdom,1.0,-,-,nrightarrow,2.0,none,1.0,1884,1.0,result,2.0,may,6.0,1883,2.0,seven,2.0,victorian,1.0,october,11,4,11.0
157,catholicism,3.0,longitudinal,3.0,following,1.0,group,5.0,about,6.0,hunt,7.0,authority,3.0,members,6.0,chiesa,1.0,-,-,sqrt,2.0,counterpart,1.0,1900,1.0,scorers,2.0,december,6.0,small,2.0,scored,2.0,morality,1.0,lightning,11,known,11.0
158,obtaining,3.0,5,3.0,1962,1.0,high,5.0,fair,6.0,teeth,7.0,october,3.0,off,5.0,riposto,1.0,-,-,it,2.0,cd,1.0,christian,1.0,67,2.0,about,6.0,covenant,2.0,20,2.0,as,1.0,values,11,article,11.0
159,medio,3.0,into,3.0,st,1.0,topoisomerase,5.0,each,6.0,7,7.0,2012,3.0,baengnyeong,5.0,lionardo,1.0,-,-,value,2.0,v,1.0,kahrs,1.0,3–3,2.0,trimesters,6.0,would,2.0,again,2.0,seen,1.0,both,11,chicago,11.0
160,los,3.0,acting,3.0,john,1.0,multiple,5.0,café,6.0,9,7.0,13,3.0,australia,5.0,calanna,1.0,-,-,therefore,2.0,colours,1.0,tested,1.0,38,2.0,approximately,6.0,release,2.0,15,2.0,through,1.0,could,11,where,11.0
161,guerreros,3.0,forces,3.0,fisher,1.0,chromosome,5.0,translates,6.0,native,7.0,conflict,3.0,presented,5.0,marquis,1.0,-,-,let,2.0,brown,1.0,oslo,1.0,1–3,2.0,prepregnant,6.0,this,2.0,18,2.0,eyes,1.0,city,11,through,11.0
162,current,3.0,described,3.0,college,1.0,helicase,5.0,volksfest,5.0,12,7.0,reference,3.0,sunk,5.0,gallodoro,1.0,-,-,function,2.0,orange,1.0,soon,1.0,2–0,2.0,having,6.0,cash,2.0,press,2.0,working,1.0,gazette,11,1965,11.0
163,7,3.0,was,3.0,there,1.0,progress,5.0,6,5.0,domestication,7.0,4,3.0,4,5.0,politician,1.0,-,-,dxlim,2.0,94,1.0,tried,1.0,61,2.0,week,6.0,clause,2.0,conference,2.0,antihero,1.0,paris,11,awarded,11.0
164,9,3.0,loop,3.0,24,1.0,after,5.0,1,5.0,having,7.0,reading,3.0,6,5.0,by,1.0,-,-,tto,2.0,website,1.0,australia,1.0,51,2.0,sga,6.0,thousands,2.0,carrie,2.0,member,1.0,virtue,11,political,11.0
165,indigenous,3.0,decreases,3.0,seasons,1.0,25,5.0,if,5.0,after,7.0,5,3.0,9,5.0,antonino,1.0,-,-,t,2.0,wwwlecdhbe,1.0,new,1.0,1–0,2.0,lga,6.0,payments,2.0,graf,2.0,elephant,1.0,so,11,family,11.0
166,including,3.0,rises,3.0,served,1.0,phase,5.0,when,5.0,4,7.0,procedures,3.0,history,5.0,other,1.0,-,-,dx,2.0,politics,1.0,zealand,1.0,25,2.0,e,6.0,side,2.0,march,2.0,charities,1.0,began,11,being,11.0
167,trance,3.0,descends,3.0,school,1.0,foci,5.0,tapping,5.0,impact,7.0,criticism,3.0,recovery,5.0,include,1.0,-,-,illustration,2.0,until,1.0,united,1.0,88,2.0,f,6.0,bull,2.0,2008,2.0,won,1.0,what,11,gandhi,11.0
168,need,3.0,30th,3.0,s,1.0,partner,4.0,5,5.0,subspecies,7.0,challenges,3.0,assessment,5.0,agostino,1.0,-,-,around,2.0,known,1.0,states,1.0,scunthorpe,2.0,h,6.0,daughter,2.0,olympics,2.0,5,1.0,now,11,just,11.0
169,colonial,3.0,highpressure,3.0,athletic,1.0,synthesize,4.0,locals,5.0,among,7.0,code,3.0,claims,5.0,pennisi,1.0,-,-,evaluated,2.0,parti,1.0,company,1.0,verpool,1.0,j,6.0,one,2.0,make,2.0,8d4b8ccb6c551097d9b604bfb6e60a4fb06119c1,1.0,if,11,our,11.0
170,leaders,3.0,ground,3.0,director,1.0,original,4.0,used,5.0,using,7.0,than,3.0,trade,5.0,floristella,1.0,-,-,this,2.0,currently,1.0,produced,1.0,from,1.0,3d,6.0,luxurious,2.0,who,2.0,-,-,printed,11,isbn,11.0
171,taken,3.0,called,3.0,3,1.0,up,4.0,wine,5.0,sometimes,7.0,waterfront,3.0,warfare,5.0,honorable,1.0,-,-,which,2.0,participates,1.0,patterned,1.0,wikipedia,1.0,here,6.0,two,2.0,wikipedia,1.0,-,-,home,11,abernathy,10.0
172,baptized,3.0,higher,3.0,august,1.0,1,4.0,family,5.0,predators,7.0,practices,3.0,16,5.0,giambartolo,1.0,-,-,long,2.0,brusselscapital,1.0,suitable,1.0,free,1.0,before,5.0,attended,2.0,free,1.0,-,-,out,11,15,10.0
173,individual,3.0,where,3.0,17,1.0,results,4.0,costumes,5.0,generally,7.0,provide,3.0,maritime,5.0,romeo,1.0,-,-,functions,2.0,but,1.0,dispensing,1.0,encyclopedia,1.0,effect,5.0,back,2.0,encyclopedia,1.0,-,-,between,11,georgia,10.0
174,under,3.0,thermally,3.0,2007,1.0,structures,4.0,state,5.0,rodents,7.0,time,3.0,site,5.0,palazzo,1.0,-,-,uniformly,2.0,no,1.0,electronic,1.0,manager,1.0,nutrient,5.0,ended,2.0,croppedjpg,1.0,-,-,some,11,memphis,10.0
175,lukumi,3.0,direct,3.0,united,1.0,types,4.0,booths,5.0,through,7.0,announced,3.0,30,5.0,leonardo,1.0,-,-,mgeq,2.0,longer,1.0,could,1.0,don,1.0,study,5.0,trouble,2.0,madison,1.0,-,-,1785,10,coretta,10.0
176,image,3.0,waves,3.0,states,1.0,thymine,4.0,led,5.0,diet,7.0,secretary,3.0,koreans,5.0,priest,1.0,-,-,leftsum,2.0,may,1.0,create,1.0,welsh,1.0,they,5.0,known,2.0,square,1.0,-,-,established,10,scott,10.0
177,commonly,3.0,within,3.0,sports,1.0,phosphodiester,4.0,bands,5.0,paws,7.0,allegations,3.0,before,5.0,ragonisi,1.0,-,-,km,2.0,belgian,1.0,unlimited,1.0,goalscorer,1.0,woman,5.0,owned,2.0,garden,1.0,-,-,age,10,children,10.0
178,puerto,3.0,under,3.0,died,1.0,ends,4.0,two,5.0,heat,7.0,provisions,3.0,exercises,5.0,geremia,1.0,-,-,atop,2.0,contents,1.0,number,1.0,27,1.0,much,5.0,been,2.0,no,1.0,-,-,newspaper,10,bus,10.0
179,rico,3.0,circumstances,3.0,home,1.0,being,4.0,1950,5.0,light,7.0,certain,3.0,27,5.0,family,1.0,-,-,mto,2.0,hide,1.0,designs,1.0,all,1.0,extra,5.0,sum,2.0,age,1.0,-,-,governor,10,leader,10.0
180,well,3.0,do,3.0,-,-,adds,4.0,medical,5.0,tongue,7.0,police,3.0,vessel,5.0,are,1.0,-,-,kn,2.0,31,1.0,british,1.0,highest,1.0,excessive,5.0,bankruptcy,2.0,29,1.0,-,-,slavery,10,segregation,10.0
181,church,3.0,form,3.0,-,-,mismatched,4.0,special,5.0,kill,7.0,funds,3.0,support,5.0,found,1.0,-,-,nm,2.0,32,1.0,experimentally,1.0,lowest,1.0,chronic,5.0,purchased,2.0,nationality,1.0,-,-,letters,10,received,10.0
182,ilé,3.0,60°,3.0,-,-,but,4.0,authorities,5.0,age,7.0,such,3.0,survivors,5.0,pinacoteca,1.0,-,-,mathematics,1.0,321,1.0,198485,1.0,average,1.0,obesity,5.0,honor,2.0,height,1.0,-,-,independence,10,following,10.0
183,three,3.0,some,3.0,-,-,attached,4.0,off,5.0,colonies,7.0,sought,3.0,up,5.0,dell,1.0,-,-,first,1.0,322,1.0,experiment,1.0,37324,1.0,pedersen,5.0,agreement,2.0,186,1.0,-,-,old,10,opposition,10.0
184,guidance,3.0,entirely,3.0,-,-,less,4.0,allowed,5.0,example,7.0,decisions,3.0,base,5.0,’,1.0,-,-,its,1.0,33,1.0,regarded,1.0,←,1.0,21,5.0,separate,2.0,cm,1.0,-,-,autobiography,10,congress,10.0
185,padrino,3.0,weak,3.0,-,-,addition,4.0,popular,5.0,cases,7.0,letters,3.0,recovered,5.0,accademia,1.0,-,-,tends,1.0,references,1.0,introduced,1.0,1954–55,1.0,9,5.0,made,2.0,ft,1.0,-,-,family,10,want,10.0
186,if,3.0,variable,3.0,-,-,repair,4.0,historic,5.0,mate,7.0,patent,3.0,investigative,5.0,degli,1.0,-,-,become,1.0,external,1.0,1976,1.0,1956–57,1.0,effects,5.0,develop,2.0,weight,1.0,-,-,second,10,even,10.0
187,elekes,3.0,reason,3.0,-,-,first,4.0,famous,5.0,there,6.0,extent,3.0,investigators,5.0,zelanti,1.0,-,-,when,1.0,links,1.0,distinctive,1.0,→,1.0,less,5.0,lost,2.0,174,1.0,-,-,printing,10,such,10.0
188,107,3.0,moving,3.0,-,-,rather,4.0,2009,5.0,though,6.0,unlawful,3.0,national,5.0,gabinetto,1.0,-,-,their,1.0,officially,1.0,whole,1.0,65th,1.0,different,5.0,along,2.0,kg,1.0,-,-,should,10,way,10.0
189,according,3.0,case,3.0,-,-,use,4.0,löwenbräu,5.0,different,6.0,otherwise,3.0,submarines,5.0,lettura,1.0,-,-,increases,1.0,1972,1.0,one,1.0,s,1.0,same,5.0,all,2.0,high,1.0,-,-,where,10,while,10.0
190,iyawo,3.0,while,3.0,-,-,oh,4.0,number,5.0,see,6.0,i,3.0,cht02d,5.0,3,1.0,-,-,precisely,1.0,foundation,1.0,operation,1.0,existence,1.0,even,5.0,2016,2.0,playing,1.0,-,-,because,10,over,10.0
191,bride,3.0,westerly,3.0,-,-,including,4.0,1000,5.0,within,6.0,they,3.0,information,5.0,-,-,-,-,arbitrarily,1.0,result,1.0,rather,1.0,and,1.0,too,5.0,not,2.0,2003–present,1.0,-,-,used,10,man,10.0
192,so,3.0,relatively,3.0,-,-,mechanism,4.0,2016,5.0,33,6.0,findings,3.0,most,5.0,-,-,-,-,sufficiently,1.0,split,1.0,than,1.0,their,1.0,population,5.0,metropolitan,2.0,history,1.0,-,-,any,10,leaders,10.0
193,initiate,3.0,would,3.0,-,-,nick,4.0,20,5.0,since,6.0,summons,3.0,while,5.0,-,-,-,-,necessarily,1.0,unitary,1.0,just,1.0,2nd,1.0,daily,5.0,mortgage,2.0,2003–2005,1.0,-,-,will,10,book,10.0
194,never,3.0,normal,3.0,-,-,processivity,4.0,use,5.0,ancient,6.0,appear,3.0,2011,5.0,-,-,-,-,unique,1.0,party–christian,1.0,preprinted,1.0,consecutive,1.0,general,5.0,other,2.0,2005–2007,1.0,-,-,men,10,f,10.0
195,consultation,3.0,la,3.0,-,-,forming,4.0,construction,5.0,egypt,6.0,documents,3.0,published,5.0,-,-,-,-,contents,1.0,psccvp,1.0,experimented,1.0,year,1.0,embryo,5.0,1890,2.0,2007–2008,1.0,-,-,july,9,act,10.0
196,path,3.0,wikipedia,2.0,-,-,okazaki,4.0,access,5.0,early,6.0,must,3.0,aluminum,5.0,-,-,-,-,hide,1.0,into,1.0,198990,1.0,prove,1.0,each,5.0,more,2.0,2008–2009,1.0,-,-,1775,9,government,10.0
197,spirits,3.0,hide,2.0,-,-,found,4.0,450,5.0,evolution,6.0,published,3.0,minister,5.0,-,-,-,-,external,1.0,dutchspeaking,1.0,those,1.0,to,1.0,becomes,5.0,home,2.0,2009–2011,1.0,-,-,assembly,9,economic,10.0
198,only,3.0,issues,2.0,-,-,involved,4.0,entenbraterei,5.0,health,6.0,proposed,3.0,broadcasts,5.0,-,-,-,-,links,1.0,cvp,1.0,considered,1.0,be,1.0,chart,5.0,various,2.0,2011–2013,1.0,-,-,1764,9,jackson,10.0
199,men,3.0,march,2.0,-,-,extends,4.0,weekend,4.0,fighting,6.0,condition,3.0,film,5.0,-,-,-,-,harmonic,1.0,increased,1.0,owns,1.0,one,1.0,exercise,5.0,library,2.0,2011–2014,1.0,-,-,personal,9,support,10.0
200,iron,3.0,june,2.0,-,-,templates,4.0,called,4.0,feeding,6.0,statement,3.0,26,4.0,-,-,-,-,prime,1.0,linguistic,1.0,dispensable,1.0,where,1.0,category,5.0,funds,2.0,2014–present,1.0,-,-,massachusetts,9,democratic,10.0
201,ceremony,3.0,idealised,2.0,-,-,telomerase,4.0,numerous,4.0,african,6.0,behalf,3.0,corvette,4.0,-,-,-,-,primes,1.0,tensions,1.0,construction,1.0,finish,1.0,level,5.0,sponsored,2.0,highlights,1.0,-,-,children,9,january,9.0
